,insert,update,move,delete
HdlStmAssign-HdlStmIf,3.0,3.0,,
HdlStmIf-HdlStmProcess,,2.0,,
HdlOp-Assignment-HdlStmIf,,3.0,,3.0
HdlOp-InfixExpression-HdlOp-Assignment,,,1.0,
HdlOp-PrefixExpression-HdlOp-Assignment,,,1.0,
