,HdlDirection,HdlOp-InfixExpression,HdlOp-PrefixExpression,HdlOp-Assignment,HdlOp-MemberAccessing,HdlOp-PARAMETRIZATION
update,1.0,3.0,3,,1,
insert,,,1,3.0,1,1.0
