,update,move,delete,insert
HdlStmAssign-HdlModuleDef,9.0,,5.0,8.0
HdlOp-MemberAccessing-HdlStmAssign,5.0,5.0,5.0,2.0
HdlOp-InfixExpression-HdlOp-MemberAccessing,5.0,,3.0,2.0
HdlOp-MemberAccessing-HdlOp-InfixExpression,,3.0,,
HdlOp-InfixExpression-HdlOp-InfixExpression,,,3.0,2.0
